amount,is_foreign,prev_frauds,hour,channel,label
93.85361799537182,0,0,21,in-store,0
602.0242861835042,0,0,4,online,0
263.34913870908986,1,1,9,in-store,1
182.58851075519064,0,0,22,in-store,0
33.924974092469256,0,0,16,online,0
33.919258382921036,0,0,11,in-store,0
11.967753721736136,0,0,22,online,0
402.2461728959879,0,0,15,in-store,0
183.8164307254529,0,0,2,online,0
246.25001234091806,0,0,21,online,0
4.159861599827725,0,0,8,mobile,0
700.7114950316624,1,1,14,online,1
357.285908670935,1,0,4,in-store,0
47.7375250497894,0,0,22,online,0
40.13579774993267,0,0,12,online,0
40.52228456645141,1,1,13,online,1
72.55074589209542,0,0,19,online,0
148.7855661721709,0,1,14,online,0
113.10741335606733,1,1,15,online,1
68.8445985107883,0,0,22,online,0
189.27417477995974,0,0,12,online,0
30.046905745467733,0,0,16,mobile,0
69.10310240048045,1,1,22,mobile,1
91.2554436441694,1,0,7,online,0
121.78693757195501,1,0,20,in-store,0
307.5872022061824,0,0,1,online,0
44.547172425738054,1,0,4,in-store,0
144.40583100662553,0,1,5,in-store,0
179.5009442619521,0,0,11,mobile,0
9.51276995128171,0,0,17,online,0
187.066604129922,0,0,21,in-store,0
37.39225039548329,0,0,21,online,0
13.452786175860847,0,0,0,mobile,0
594.7375587013862,0,1,16,online,0
674.1260684922345,0,0,10,in-store,0
330.46631456257535,0,0,9,in-store,0
72.65757199375166,0,1,18,in-store,0
20.55546300050125,0,0,13,online,0
230.55015261973236,0,0,9,mobile,0
116.01816851707967,0,0,14,online,0
26.030446790889727,0,0,18,in-store,0
136.70944562683002,0,0,3,online,0
6.998744288695817,0,0,1,online,0
480.08457747860473,0,0,8,online,0
59.89155536813722,1,1,9,online,1
217.25115971299607,0,0,10,online,0
74.70931633152473,0,0,13,online,0
146.8221791818457,0,0,6,online,0
158.2447595963595,1,0,22,in-store,0
40.87771990158115,0,0,14,mobile,0
698.5614265472453,1,0,21,online,0
298.44907542762815,0,0,18,online,0
561.0188838583165,1,0,21,online,0
450.4303995068393,0,0,14,online,0
182.210882476655,1,0,23,in-store,0
509.887075853881,0,0,7,in-store,0
18.531091790623126,0,0,10,online,0
43.62693892625349,0,0,8,online,0
9.256393137366391,0,0,14,online,0
78.70641736061737,0,0,0,in-store,0
98.42605835884372,1,0,0,mobile,0
63.31208864176514,1,0,18,online,0
352.91157304818677,0,0,2,online,0
88.24539990597403,0,1,9,mobile,0
65.96056802684984,0,1,7,mobile,0
156.4814166415492,0,0,14,online,0
30.37962956412577,0,1,9,online,0
324.09671915494624,0,0,0,online,0
15.495173762261802,0,0,17,online,0
866.8292679174639,0,0,1,online,0
295.89675524830227,0,1,18,online,0
44.30788810117719,0,0,12,online,0
1.107484075187095,0,0,21,online,0
337.9793554972252,0,0,0,in-store,0
245.41918147740893,1,1,1,online,1
261.1325817575998,0,0,15,online,0
295.0429052087027,0,1,14,online,0
15.38585310275927,0,0,12,online,0
88.7785344832465,0,0,15,mobile,0
24.63002092088993,1,0,16,online,0
397.7059143316445,0,0,20,online,0
195.26023834247482,0,0,6,in-store,0
80.3637602502602,0,0,23,online,0
13.133613160956578,1,0,16,mobile,0
74.49767008207074,1,1,6,online,1
78.66284263682627,0,0,12,online,0
261.5751567915482,0,0,4,online,0
202.977871785204,0,0,16,online,0
436.45038248030295,1,0,2,in-store,0
127.81322667526196,0,1,6,in-store,0
25.47447872310038,1,0,16,online,0
249.82526886331988,0,1,6,online,0
286.0785506153728,0,0,20,in-store,0
164.77749897716575,0,0,0,mobile,0
294.7779933442729,0,1,16,online,0
136.1629463020556,0,0,16,online,0
147.9357677554534,0,0,10,online,0
111.56283878168547,0,0,2,mobile,0
5.149554798022746,0,0,14,online,0
22.833487038373168,0,1,20,online,0
6.386736258610765,0,0,10,in-store,0
202.3459101855099,1,1,15,online,1
75.47934175901997,1,1,21,online,1
142.08743542683803,1,0,8,online,0
476.2531059691951,1,0,23,online,0
57.347764596659665,0,1,23,online,0
105.65639497653451,0,0,0,online,0
281.7498295077167,0,0,21,online,0
51.961031383478804,0,0,15,online,0
16.020855710035274,0,0,8,in-store,0
68.42806077741142,0,0,18,in-store,0
35.16167170001257,0,1,11,online,0
530.990017176125,0,0,18,online,0
330.1774160969139,0,0,21,online,0
200.69883810410622,0,1,8,online,0
410.3039461041626,0,0,6,online,0
325.5937881481113,0,0,13,in-store,0
41.299095271727815,1,0,18,online,0
446.1626810471122,0,0,18,online,0
155.0199803932344,0,1,1,online,0
329.46965826071323,1,0,8,in-store,0
452.84852985724626,1,0,12,online,0
76.5461432836637,1,1,14,in-store,1
23.318432024770168,0,0,2,online,0
51.73734922787627,0,0,10,mobile,0
111.41153854972288,0,1,20,mobile,0
340.765945327789,0,0,13,online,0
394.26899437596666,0,0,7,online,0
1.3952818363301294,0,0,17,online,0
142.97523186771116,0,0,18,online,0
108.05466418373426,0,0,15,in-store,0
50.2334676551649,0,0,1,in-store,0
25.536078309129362,0,0,7,in-store,0
82.38171597248649,0,0,21,in-store,0
572.6242245382299,0,1,5,online,0
78.07676057629487,0,1,11,online,0
146.2905611520304,1,0,14,in-store,0
242.81739537617096,0,0,7,online,0
90.39489979339247,0,0,3,in-store,0
713.5596276583399,0,0,14,online,0
656.4019729082796,0,0,19,online,0
58.012258998441055,0,0,16,mobile,0
137.53185569276945,0,1,12,online,0
71.58609201580936,0,1,17,mobile,0
67.04993527621635,0,0,1,mobile,0
7.516895553104506,1,0,12,in-store,0
188.09841419651863,0,0,12,in-store,0
139.7039265659277,0,0,21,online,0
10.570217476078495,1,0,14,mobile,0
65.32518420207387,1,0,19,online,0
477.77219021786806,0,0,9,online,0
54.77211042841541,0,0,2,in-store,0
31.30617219709395,0,1,18,online,0
134.45442189472726,0,0,2,online,0
848.8073965230519,0,0,21,online,0
55.42896271194524,0,0,13,online,0
223.03100205945867,0,0,7,mobile,0
286.7775252478926,1,1,22,online,1
54.266634467161154,1,0,3,mobile,0
260.5497856984632,0,0,19,in-store,0
91.7045598528608,0,0,10,in-store,0
200.10074954635425,0,0,10,online,0
200.76756542752764,0,1,10,in-store,0
153.47704999046977,0,0,1,online,0
18.92583176232419,0,1,16,in-store,0
360.7289588492594,0,0,8,online,0
77.36205873347932,0,0,1,mobile,0
41.286421321511305,0,0,23,mobile,0
8.325951958869041,0,1,14,online,0
178.75568091891668,0,1,15,online,0
226.37034685346978,0,1,3,in-store,0
3.345389511694124,1,0,7,online,0
143.52611690989767,0,0,8,mobile,0
51.36482941099153,0,1,4,online,0
207.22486830953838,0,0,15,online,0
38.32084450782675,0,1,12,mobile,0
234.8425055135438,0,1,6,in-store,0
97.79174019622036,0,0,19,in-store,0
552.0687635608614,0,0,16,online,0
29.58888268785579,0,0,2,in-store,0
83.42648679903435,1,0,4,online,0
24.088857007399284,0,0,18,in-store,0
517.2380794301447,0,0,11,in-store,0
419.6667414321988,1,0,6,online,0
59.66547401229778,0,0,8,online,0
215.7525478087829,1,0,5,online,0
339.89681452784424,0,0,16,in-store,0
162.02647213730162,0,0,15,online,0
150.85588203878922,0,0,22,in-store,0
55.37540908758063,0,1,2,online,0
19.545228094988147,0,0,20,in-store,0
455.02464503890457,0,0,3,in-store,0
461.35488552968536,0,1,9,online,0
200.53398389657696,0,0,4,online,0
82.80930196226478,0,0,20,online,0
85.91352316232879,1,0,21,in-store,0
258.8930859454236,1,0,9,in-store,0
454.81946982145047,1,0,11,online,0
436.2265138793226,0,2,9,in-store,0
302.7124383861806,0,0,12,online,0
205.462138713541,0,1,10,online,0
17.578345239216812,0,0,21,mobile,0
35.2588429366823,0,0,15,online,0
457.64610003550115,0,1,7,online,0
